char,male,female
直,20792,6889
壬,6379,6864
秘,4271,6860
羡,2954,6818
闲,1780,6801
鹂,662,6793
肇,47172,6783
娱,1085,6774
所,22859,6770
坦,23777,6768
抗,14220,6742
荆,4708,6728
钥,1639,6702
钢,433473,6684
特,49446,6675
境,16720,6668
遂,14726,6649
樊,10348,6640
翘,2813,6639
闰,8715,6615
铖,61995,6562
简,6897,6553
次,10451,6529
网,4178,6516
棣,16865,6488
芒,4341,6473
祚,35927,6460
裴,3663,6457
叫,3764,6442
串,2701,6409
晞,3471,6407
蜀,7002,6380
拾,6534,6365
蓥,1461,6359
统,82564,6358
只,2094,6357
稀,4502,6332
频,3283,6331
翀,25201,6308
热,6814,6305
尘,14800,6299
赤,5377,6294
垂,26297,6294
莘,3493,6239
巾,906,6211
称,7219,6199
渠,17417,6163
鋆,11056,6130
教,27521,6104
挺,95577,6102
尉,22857,6071
主,31647,6025
仰,34406,6009
铎,122819,6003
甘,9364,5995
异,9152,5990
曌,4370,5963
昔,9675,5916
洵,11398,5890
衣,2595,5798
滕,12886,5796
婴,1241,5795
考,21278,5791
炀,21219,5769
湛,34043,5761
由,21177,5745
模,50365,5727
颢,22368,5700
准,22531,5695
嫱,19,5691
因,1804,5679
鉴,75474,5649
认,1679,5646
资,12914,5645
胭,15,5641
骅,21249,5580
骊,1561,5577
怿,6300,5557
籽,3331,5503
钻,4131,5497
莱,3773,5467
刁,1458,5451
斗,80464,5445
迈,9238,5421
璧,3947,5419
镁,684,5403
斋,14458,5390
霆,46007,5379
烜,19308,5358
阔,82592,5345
啊,2726,5330
萤,432,5327
澍,18586,5303
仓,188522,5293
葆,7780,5287
摇,4399,5278
论,10337,5264
演,9489,5239
淮,48534,5220
鹿,6099,5216
泊,23534,5210
擎,10618,5185
门,6110,5176
窈,60,5156
冶,17884,5154
茁,7591,5151
董,16530,5149
焯,33321,5146
筝,1223,5146
嵩,59439,5142
秧,726,5138
颉,7897,5134
翡,744,5124
雍,22895,5113
栎,4154,5103
铧,9817,5095
冀,20730,5087
焓,3662,5076
竺,1312,5050
闵,3430,5047
沉,2877,5044
鼎,107706,5034
执,9430,5032
努,2748,5012
汪,20139,5005
夷,2808,5002
贯,25035,4999
查,4782,4995
凉,3867,4978
协,24201,4977
沿,8317,4956
殊,2787,4946
约,8139,4939
斓,542,4936
冕,9212,4935
渺,2404,4916
栖,2618,4891
夜,3206,4863
御,4731,4862
甄,1779,4847
寻,4610,4838
味,1373,4836
与,8835,4832
末,2939,4812
房,33759,4805
璎,315,4767
漂,1770,4731
昶,45506,4728
弈,7349,4717
纷,305,4715
薏,371,4712
兔,6382,4694
塔,8027,4691
郎,22228,4683
皇,19840,4681
穆,6117,4666
舍,2019,4663
项,12213,4662
神,17382,4658
湉,429,4645
苡,1205,4636
崧,10206,4618
湄,123,4607
雀,1094,4597
黔,16416,4577
锟,52597,4576
潆,251,4575
弛,16315,4568
芋,2279,4515
烽,86785,4500
期,13926,4459
珞,2203,4431
奔,42332,4410
番,4343,4410
律,13102,4393
畔,2956,4391
伽,2493,4389
骐,24809,4348
铜,30706,4346
闫,4284,4326
稚,1741,4325
泠,542,4312
肃,7741,4278
了,1520,4271
楹,1758,4263
昳,483,4258
梵,4942,4257
潭,19315,4254
已,5918,4244
钒,8937,4228
戎,5184,4216
渲,2451,4181
浦,26127,4173
佟,6687,4172
俣,5812,4161
尖,4748,4152
掌,4312,4137
午,34917,4128
锌,7487,4117
链,3342,4090
戴,4099,4087
蓁,1247,4071
烂,2141,4067
琅,6875,4055
浠,2056,4048
镕,7566,4032
瑚,1455,4029
港,89578,4024
托,7692,4017
设,116743,4002
还,3150,3991
芦,2141,3981
玢,952,3973
迟,7189,3961
嗣,31506,3947
尽,7631,3943
崎,10736,3942
众,41650,3927
饶,5891,3915
淦,53046,3899
铱,855,3894
机,8235,3885
须,4433,3877
珲,12941,3872
聆,625,3868
辽,13360,3841
务,7756,3834
